geoid,state,district,population,population_density,square_miles
50000US4813,Texas,13,707421,18.4,38349.5
50000US3503,New Mexico,3,686601,15.3,44958.9
50000US0803,Colorado,3,738119,14.8,49730.4
50000US3204,Nevada,4,724040,14.2,50997.4
50000US0401,Arizona,1,766924,13.9,55037.3
50000US2001,Kansas,1,708078,13.5,52542.2
50000US4823,Texas,23,772944,13.3,58058.2
50000US3202,Nevada,2,713779,12.8,55829.3
50000US4102,Oregon,2,809980,11.7,69444.4
50000US4600,South Dakota,0,865454,11.4,75810.5
50000US3800,North Dakota,0,757953,11.0,69001.0
50000US3502,New Mexico,2,691695,9.6,71742.1
50000US3103,Nebraska,3,606926,9.0,67435.0
50000US3000,Montana,0,1042520,7.2,145547.0
50000US5600,Wyoming,0,585501,6.0,97091.2
50000US0200,Alaska,0,741894,1.3,570638.3
