geoid,state,district,number,number_moe,state_number,state_number_moe,country_number,country_number_moe,ratio_state_number,ratio_state_number_moe,ratio_country_number,ratio_country_number_moe,percentage,percentage_moe,state_percentage,state_percentage_moe,country_percentage,country_percentage_moe,ratio_state_percentage,ratio_state_percentage_moe,ratio_country_percentage,ratio_country_percentage_moe
50000US0805,Colorado,5,96383.0,4122.0,376108.0,7178.0,18496937.0,66959.0,0.2562641581673349,0.03171236077318527,0.005210754623860156,0.0004834276624647168,16.87,0.72,8.86,0.17,7.44,0.03,1.9040632054176074,0.2356828727155486,2.26747311827957,0.21183790492604693
50000US1201,Florida,1,95305.0,5433.0,1429330.0,17861.0,18496937.0,66959.0,0.06667809393212204,0.009270038319897643,0.00515247470432537,0.0006247607668449323,16.63,0.94,8.71,0.11,7.44,0.03,1.909299655568312,0.26411169118810307,2.2352150537634405,0.2707185015365104
50000US5102,Virginia,2,87475.0,3587.0,671080.0,10775.0,18496937.0,66959.0,0.13034958574238542,0.014879906837569876,0.004729161374123727,0.00042209270349743646,16.46,0.64,10.44,0.17,7.44,0.03,1.5766283524904217,0.1739976340961798,2.2123655913978495,0.1898877561528164
50000US5103,Virginia,3,83327.0,4648.0,671080.0,10775.0,18496937.0,66959.0,0.12416850450020862,0.01784424871498427,0.0045049080288266105,0.000535192286143314,15.06,0.82,10.44,0.17,7.44,0.03,1.442528735632184,0.20412115116179827,2.0241935483870965,0.23675809852093932
50000US5306,Washington,6,81314.0,4219.0,537385.0,11712.0,18496937.0,66959.0,0.15131423467346503,0.022308175585280896,0.004396079199491245,0.0004880176877810335,14.88,0.75,9.57,0.21,7.44,0.03,1.5548589341692791,0.22508651879817523,2.0,0.21774547583044726
50000US1211,Florida,11,94753.0,4311.0,1429330.0,17861.0,18496937.0,66959.0,0.06629189900163013,0.007690173439960531,0.005122631925491231,0.000503225728672689,14.76,0.65,8.71,0.11,7.44,0.03,1.6946039035591272,0.19208722248589355,1.9838709677419353,0.1907332433648223
50000US5310,Washington,10,79077.0,4688.0,537385.0,11712.0,18496937.0,66959.0,0.14715148357322963,0.02387295900715357,0.004275140257005795,0.0005378538405764903,14.51,0.83,9.57,0.21,7.44,0.03,1.51619644723093,0.24011588275391954,1.950268817204301,0.23885013739167194
50000US5101,Virginia,1,83165.0,3908.0,671080.0,10775.0,18496937.0,66959.0,0.12392710258091434,0.015630525764043904,0.004496149821994852,0.00045511457967062515,14.28,0.65,10.44,0.17,7.44,0.03,1.367816091954023,0.16911164808419607,1.9193548387096773,0.19021294354204943
50000US3708,North Carolina,8,77465.0,3698.0,666425.0,11060.0,18496937.0,66959.0,0.11623963686836478,0.014960373294869465,0.004187990692729288,0.0004301767156875674,13.8,0.65,8.57,0.14,7.44,0.03,1.6102683780630105,0.20435735366420021,1.8548387096774193,0.18969264371927655
50000US0404,Arizona,4,84016.0,3750.0,485094.0,9916.0,18496937.0,66959.0,0.17319529823085836,0.022551052338709004,0.00454215743936415,0.00043836354612318074,13.8,0.58,9.18,0.19,7.44,0.03,1.5032679738562094,0.1886692554160143,1.8548387096774193,0.1708751334623243
50000US4831,Texas,31,78832.0,4136.0,1460627.0,20030.0,18496937.0,66959.0,0.053971342444032594,0.007144914152040319,0.004261894820747889,0.0004780716024111655,13.25,0.69,7.13,0.1,7.44,0.03,1.8583450210378682,0.2457242129659688,1.7809139784946235,0.19984932984298864
50000US1208,Florida,8,79083.0,3942.0,1429330.0,17861.0,18496937.0,66959.0,0.05532872044944135,0.006899731005508848,0.004275464635036601,0.00045719312840311523,13.0,0.64,8.71,0.11,7.44,0.03,1.4925373134328357,0.18468596741021986,1.7473118279569892,0.18613726159699526
50000US0402,Arizona,2,73222.0,3798.0,485094.0,9916.0,18496937.0,66959.0,0.15094394076199663,0.021838956825500654,0.003958601361944413,0.000439328655706397,12.87,0.64,9.18,0.19,7.44,0.03,1.4019607843137254,0.19755141192098893,1.7298387096774193,0.18599634706166093
50000US3703,North Carolina,3,70789.0,3664.0,666425.0,11060.0,18496937.0,66959.0,0.1062220054769854,0.014525711045591064,0.0038270660704526377,0.00042388725121670506,12.87,0.66,8.57,0.14,7.44,0.03,1.5017502917152858,0.20314523740454582,1.7298387096774193,0.1913727785636473
50000US4501,South Carolina,1,74444.0,4505.0,367504.0,8299.0,18496937.0,66959.0,0.20256650267752188,0.033682657141755015,0.004024666354218539,0.0005162530641902882,12.7,0.76,9.6,0.22,7.44,0.03,1.3229166666666667,0.21908207001072613,1.7069892473118278,0.21807066321968036
50000US1217,Florida,17,78267.0,4374.0,1429330.0,17861.0,18496937.0,66959.0,0.0547578235956707,0.00749003427604883,0.0042313492228470044,0.0005035847767711736,12.33,0.66,8.71,0.11,7.44,0.03,1.4156142365097588,0.18733586457838947,1.657258064516129,0.19078744126302782
50000US0200,Alaska,0,65814.0,3622.0,65814.0,3622.0,18496937.0,66959.0,1.0,0.2208042896781363,0.0035581026199094476,0.00041739857581211265,12.21,0.67,12.21,0.67,7.44,0.03,1.0,0.22015511803395157,1.6411290322580645,0.19334558205832778
50000US1301,Georgia,1,65794.0,3789.0,643660.0,12512.0,18496937.0,66959.0,0.10221856259515893,0.01575326849541178,0.0035570213598067617,0.000435448027721393,12.1,0.69,8.3,0.16,7.44,0.03,1.4578313253012047,0.22255330765969059,1.6263440860215053,0.19860277818426195
