Congressional Dist.,ST,CD,ST_ID,CD_ID,FIPS,Total Vote,Margin,Margin (%),Clinton,Trump,Johnson,Stein,McMullin,Fuente,Castle
District 14,IL,14,17,914,17014,"347,995","13,269",3.81,44.27,48.08,4.96,1.38,0.32,0.00,0.03
District 15,IL,15,17,915,17015,"323,516","148,033",45.76,24.29,70.04,3.85,0.86,0.21,0.00,0.03
District 16,IL,16,17,916,17016,"316,499","53,539",16.92,37.77,54.68,4.76,1.35,0.21,0.00,0.02
District 17,IL,17,17,917,17017,"290,469","2,018",0.69,46.13,46.83,4.63,1.25,0.20,0.00,0.03
District 18,IL,18,17,918,17018,"352,779","95,089",26.95,32.72,59.68,4.84,1.16,0.51,0.00,0.06
District 1,IN,1,18,901,18001,"304,536","37,720",12.39,53.31,40.93,4.36,0.37,0.00,0.00,0.03
District 2,IN,2,18,902,18002,"280,240","64,043",22.85,35.50,58.36,4.60,0.26,0.00,0.00,0.09
District 3,IN,3,18,903,18003,"295,190","101,888",34.52,29.71,64.23,4.71,0.32,0.00,0.00,0.14
District 4,IN,4,18,904,18004,"305,796","103,138",33.73,29.85,63.57,5.46,0.26,0.00,0.00,0.08
District 5,IN,5,18,905,18005,"369,007","42,935",11.64,40.67,52.31,5.56,0.20,0.00,0.00,0.06
District 6,IN,6,18,906,18006,"303,837","121,631",40.03,27.15,67.18,4.90,0.21,0.00,0.00,0.06
District 7,IN,7,18,907,18007,"268,114","60,390",22.52,58.20,35.68,4.73,0.21,0.00,0.00,0.03
District 8,IN,8,18,908,18008,"303,268","101,364",33.42,30.61,64.04,4.47,0.21,0.00,0.00,0.03
District 9,IN,9,18,909,18009,"327,977","87,271",26.61,33.79,60.40,4.74,0.37,0.00,0.00,0.05
District 1,IA,1,19,901,19001,"395,633","13,875",3.51,44.62,48.13,3.96,0.78,0.67,0.03,0.31
District 2,IA,2,19,902,19002,"384,495","15,588",4.05,44.42,48.48,3.57,0.88,0.72,0.03,0.37
District 3,IA,3,19,903,19003,"402,164","14,023",3.49,44.49,47.98,4.15,0.68,0.92,0.03,0.32
District 4,IA,4,19,904,19004,"383,739","103,828",27.06,33.20,60.26,3.42,0.59,0.85,0.03,0.36
District 1,KS,1,20,901,20001,"267,085","119,058",44.58,24.11,68.68,4.48,1.85,0.42,0.00,0.05
District 2,KS,2,20,902,20002,"298,752","54,405",18.21,37.02,55.23,4.44,2.28,0.38,0.00,0.05
District 3,KS,3,20,903,20003,"349,308","4,175",1.20,46.23,45.03,4.90,1.73,0.72,0.00,0.05
District 4,KS,4,20,904,20004,"279,610","74,725",26.72,32.38,59.11,4.67,2.03,0.63,0.00,0.06
District 1,KY,1,21,901,21001,"310,384","150,478",48.48,23.90,72.38,2.23,0.52,0.89,0.05,0.02
District 2,KY,2,21,902,21002,"324,660","129,589",39.92,27.59,67.50,2.85,0.71,1.24,0.06,0.03
District 3,KY,3,21,903,21003,"340,182","50,835",14.94,54.84,39.89,2.90,0.93,1.35,0.05,0.02
District 4,KY,4,21,904,21004,"337,308","121,085",35.90,29.25,65.15,3.47,0.77,1.27,0.05,0.03
District 5,KY,5,21,905,21005,"278,428","172,930",62.11,17.47,79.57,1.77,0.44,0.66,0.07,0.01
District 6,KY,6,21,906,21006,"333,188","50,870",15.27,39.40,54.67,3.32,0.90,1.59,0.08,0.03
District 1,LA,1,22,901,22001,"356,470","149,736",42.01,26.70,68.70,2.73,0.86,0.55,0.00,0.16
District 2,LA,2,22,902,22002,"331,712","173,712",52.37,74.61,22.24,1.40,1.06,0.27,0.00,0.09
District 3,LA,3,22,903,22003,"343,023","130,776",38.12,29.22,67.35,1.91,0.61,0.41,0.00,0.18
District 4,LA,4,22,904,22004,"318,464","76,378",23.98,36.61,60.60,1.47,0.50,0.34,0.00,0.16
District 5,LA,5,22,905,22005,"323,412","94,999",29.37,34.09,63.47,1.19,0.44,0.34,0.00,0.16
District 6,LA,6,22,906,22006,"355,951","120,307",33.80,31.01,64.81,2.40,0.67,0.59,0.00,0.18
District 1,ME,1,23,901,23001,"394,433","58,461",14.82,53.97,39.14,4.71,1.92,0.20,0.00,0.05
District 2,ME,2,23,902,23002,"353,494","36,319",10.27,40.98,51.26,5.52,1.89,0.31,0.00,0.04
District 1,MD,1,24,901,24001,"369,061","103,409",28.02,33.01,61.03,3.50,1.06,0.30,0.00,0.02
District 2,MD,2,24,902,24002,"325,425","78,777",24.21,59.38,35.17,2.76,1.40,0.25,0.00,0.02
District 3,MD,3,24,903,24003,"359,362","108,524",30.20,61.73,31.53,3.43,1.42,0.39,0.00,0.01
District 4,MD,4,24,904,24004,"334,577","193,185",57.74,76.69,18.95,1.90,1.13,0.27,0.00,0.02
District 5,MD,5,24,905,24005,"360,699","110,120",30.53,62.65,32.12,2.60,1.16,0.33,0.00,0.03
District 6,MD,6,24,906,24006,"345,792","54,685",15.81,54.81,38.99,3.09,1.31,0.47,0.00,0.02
District 7,MD,7,24,907,24007,"314,641","170,352",54.14,74.31,20.16,2.48,1.54,0.28,0.00,0.01
District 8,MD,8,24,908,24008,"371,889","122,525",32.95,63.23,30.28,3.00,1.35,0.45,0.00,0.02
District 1,MA,1,25,901,25001,"344,412","70,083",20.35,56.34,35.99,4.22,1.97,0.06,0.00,0.00
District 2,MA,2,25,902,25002,"357,395","68,055",19.04,55.26,36.22,4.96,1.89,0.09,0.00,0.00
District 3,MA,3,25,903,25003,"354,367","79,605",22.46,57.27,34.81,4.96,1.32,0.11,0.00,0.00
District 4,MA,4,25,904,25004,"388,652","92,271",23.74,58.14,34.40,4.47,1.22,0.11,0.00,0.00
District 5,MA,5,25,905,25005,"379,720","162,986",42.92,68.18,25.26,3.61,1.31,0.11,0.00,0.00
District 6,MA,6,25,906,25006,"407,896","71,614",17.56,55.13,37.57,4.44,1.18,0.08,0.00,0.00
District 7,MA,7,25,907,25007,"306,116","218,019",71.22,82.99,11.77,2.30,1.58,0.06,0.00,0.00
District 8,MA,8,25,908,25008,"389,135","99,732",25.63,59.45,33.82,3.96,1.17,0.07,0.00,0.00
District 9,MA,9,25,909,25009,"397,353","41,938",10.55,51.74,41.18,4.15,1.40,0.06,0.00,0.00
District 1,MI,1,26,901,26001,"366,720","77,577",21.15,36.33,57.49,3.76,1.28,0.12,0.00,0.39
District 2,MI,2,26,902,26002,"350,466","60,734",17.33,37.80,55.13,4.32,1.10,0.36,0.00,0.48
District 3,MI,3,26,903,26003,"353,455","33,006",9.34,41.68,51.02,4.47,1.22,0.37,0.00,0.44
District 4,MI,4,26,904,26004,"330,313","81,486",24.67,34.46,59.13,4.26,1.02,0.17,0.00,0.46
District 5,MI,5,26,905,26005,"329,869","14,029",4.25,49.41,45.16,3.30,1.04,0.08,0.00,0.35
District 6,MI,6,26,906,26006,"333,202","28,027",8.41,42.70,51.12,4.21,1.14,0.19,0.00,0.41
District 7,MI,7,26,907,26007,"343,081","58,125",16.94,38.34,55.29,4.12,1.00,0.15,0.00,0.42
District 8,MI,8,26,908,26008,"378,440","25,455",6.73,43.45,50.18,4.02,1.08,0.23,0.00,0.31
District 9,MI,9,26,909,26009,"357,076","27,488",7.70,51.27,43.58,3.39,1.11,0.10,0.00,0.23
District 10,MI,10,26,910,26010,"358,246","115,145",32.14,31.56,63.70,3.35,0.93,0.09,0.00,0.31
District 11,MI,11,26,911,26011,"394,639","17,102",4.33,44.89,49.22,3.79,0.90,0.17,0.00,0.23
District 12,MI,12,26,912,26012,"341,632","89,234",26.12,60.29,34.17,3.01,1.31,0.16,0.00,0.26
District 13,MI,13,26,913,26013,"266,800","160,994",60.34,78.38,18.03,1.75,1.00,0.02,0.00,0.22
District 14,MI,14,26,914,26014,"320,603","194,208",60.58,78.72,18.15,1.58,0.77,0.11,0.00,0.15
District 1,MN,1,27,901,27001,"343,735","50,816",14.78,38.06,52.85,4.04,1.25,2.01,0.06,0.42
District 2,MN,2,27,902,27002,"382,067","4,692",1.23,44.86,46.09,4.34,1.12,1.86,0.05,0.29
District 3,MN,3,27,903,27003,"401,670","37,574",9.35,50.25,40.89,3.99,0.99,2.08,0.05,0.27
District 4,MN,4,27,904,27004,"367,654","112,640",30.64,60.87,30.24,3.68,1.50,1.84,0.05,0.27
District 5,MN,5,27,905,27005,"374,560","204,867",54.70,72.99,18.30,3.35,2.01,1.59,0.04,0.21
District 6,MN,6,27,906,27006,"373,920","95,217",25.46,32.98,58.45,4.10,1.01,1.87,0.05,0.34
District 7,MN,7,27,907,27007,"339,286","103,649",30.55,30.82,61.37,3.69,0.91,1.67,0.05,0.42
District 8,MN,8,27,908,27008,"362,341","56,114",15.49,38.27,53.76,3.48,1.25,1.48,0.04,0.37
District 1,MS,1,28,901,28001,"311,238","102,355",32.89,32.38,65.27,1.31,0.34,0.00,0.06,0.39
District 2,MS,2,28,902,28002,"291,797","83,342",28.56,63.57,35.01,0.67,0.27,0.00,0.05,0.25
District 3,MS,3,28,903,28003,"324,598","79,963",24.63,36.60,61.24,1.20,0.27,0.00,0.05,0.33
District 4,MS,4,28,904,28004,"283,455","116,607",41.14,28.24,69.38,1.59,0.36,0.00,0.05,0.34
District 1,MO,1,29,901,29001,"323,149","185,971",57.55,76.16,18.61,2.46,1.33,0.28,0.00,0.34
District 2,MO,2,29,902,29002,"425,744","42,996",10.10,41.75,51.85,3.78,0.87,0.27,0.00,0.42
District 3,MO,3,29,903,29003,"382,229","148,076",38.74,27.80,66.54,3.54,0.79,0.14,0.00,0.45
District 4,MO,4,29,904,29004,"342,487","122,283",35.70,29.16,64.86,3.89,0.88,0.25,0.00,0.57
District 5,MO,5,29,905,29005,"330,877","49,303",14.90,54.21,39.30,3.66,1.16,0.31,0.00,0.48
District 6,MO,6,29,906,29006,"359,261","116,309",32.37,30.75,63.12,3.97,0.76,0.32,0.00,0.46
District 7,MO,7,29,907,29007,"345,398","156,285",45.25,24.44,69.69,3.52,0.84,0.32,0.00,0.55
District 8,MO,8,29,908,29008,"319,121","172,768",54.14,20.96,75.10,2.50,0.60,0.11,0.00,0.43
At Large,MT,1,30,901,30000,"501,822","101,531",20.23,35.41,55.65,5.59,1.59,0.46,0.31,0.06
District 1,NE,1,31,901,31001,"282,260","58,472",20.72,35.47,56.18,4.97,1.20,0.00,0.00,0.00
District 2,NE,2,31,902,31002,"291,680","6,534",2.24,44.92,47.16,4.54,1.15,0.00,0.00,0.00
District 3,NE,3,31,903,31003,"270,287","146,461",54.19,19.74,73.93,4.32,0.76,0.00,0.00,0.00
District 1,NV,1,32,901,32001,"196,840","57,088",29.00,61.63,32.63,2.75,0.00,0.00,0.32,0.45
District 2,NV,2,32,902,32002,"326,011","40,314",12.37,39.67,52.03,4.28,0.00,0.00,0.23,0.55
District 3,NV,3,32,903,32003,"325,602","3,262",1.00,46.55,47.55,3.06,0.00,0.00,0.17,0.35
District 4,NV,4,32,904,32004,"276,932","13,690",4.94,49.50,44.55,2.90,0.00,0.00,0.23,0.52
District 1,NH,1,33,901,33001,"377,574","5,915",1.57,45.91,47.48,4.24,0.81,0.13,0.08,0.00
District 2,NH,2,33,902,33002,"366,722","8,651",2.36,47.77,45.41,4.03,0.94,0.16,0.10,0.00
District 1,NJ,1,34,901,34001,"332,842","80,506",24.19,59.90,35.72,1.96,0.88,0.00,0.04,0.28
District 2,NJ,2,34,902,34002,"323,778","14,830",4.58,45.60,50.18,2.04,0.86,0.00,0.05,0.25
District 3,NJ,3,34,903,34003,"368,671","22,613",6.13,44.78,50.91,2.07,0.95,0.00,0.04,0.24
District 4,NJ,4,34,904,34004,"360,410","52,668",14.61,40.56,55.18,1.99,0.88,0.00,0.03,0.16
District 5,NJ,5,34,905,34005,"367,796","4,089",1.11,47.30,48.41,2.18,0.95,0.00,0.04,0.14
District 6,NJ,6,34,906,34006,"291,980","45,179",15.47,55.78,40.30,1.65,1.11,0.00,0.05,0.10
District 7,NJ,7,34,907,34007,"374,404","4,139",1.11,48.22,47.11,2.62,0.96,0.00,0.04,0.14
