Id,State,Year,Ev dem,Ev gop,Dem votes,Gop votes,Third votes,Other votes,Margin votes,Dem pct,Gop pct,Third pct,Other pct,Margin pct,Winner
10,GA,2012,0,16,1773827,2078688,,55854,304861,0.39,0.19,,1.43,7.8,REP
11,HI,2012,4,0,306658,121015,,7024,185643,0.55,0.84,,1.62,0.71,DEM
15,IA,2012,6,0,822544,730617,,29019,91927,0.99,0.18,,1.83,5.81,DEM
12,ID,2012,0,4,212787,420911,,23044,208124,0.4,0.09,,3.51,0.69,REP
13,IL,2012,20,0,3019512,2135216,,96704,884296,0.5,0.66,,1.84,0.84,DEM
14,IN,2012,0,11,1154275,1422872,,55996,268597,0.84,0.04,,2.13,0.2,REP
16,KS,2012,0,6,439908,689809,,26537,249901,0.05,0.66,,2.3,0.61,REP
17,KY,2012,0,8,679370,1087190,,31488,407820,0.78,0.47,,1.75,0.68,REP
18,LA,2012,0,8,809141,1152262,,32662,343121,0.58,0.78,,1.64,0.21,REP
21,MA,2012,11,0,1921761,1188460,,57546,733301,0.67,0.52,,1.82,0.15,DEM
20,MD,2012,10,0,1677844,971869,,57614,705975,0.97,0.9,,2.13,0.08,DEM
19,ME,2012,4,0,401306,292276,,19598,109030,0.27,0.98,,2.75,0.29,DEM
22,MI,2012,16,0,2564569,2115256,,65491,449313,0.04,0.58,,1.38,9.47,DEM
23,MN,2012,10,0,1546167,1320225,,70169,225942,0.65,0.96,,2.39,7.69,DEM
25,MO,2012,0,10,1223796,1482440,,57453,258644,0.28,0.64,,2.08,9.36,REP
24,MS,2012,0,6,562949,710746,,11889,147797,0.79,0.29,,0.92,0.5,REP
26,MT,2012,0,3,201839,267928,,14717,66089,0.66,0.3,,3.04,0.64,REP
33,NC,2012,0,15,2178391,2270395,,56586,92004,0.35,0.39,,1.26,2.04,REP
34,ND,2012,0,3,124827,188163,,9637,63336,0.69,0.32,,2.99,0.63,REP
27,NE,2012,0,5,302081,475064,,17234,172983,0.03,0.8,,2.17,0.78,REP
29,NH,2012,4,0,369561,329918,,11493,39643,0.98,0.4,,1.62,5.58,DEM
30,NJ,2012,14,0,2126610,1478749,,45781,647861,0.25,0.5,,1.25,0.74,DEM
31,NM,2012,5,0,415335,335788,,32634,79547,0.99,0.84,,4.16,0.15,DEM
28,NV,2012,6,0,531373,463567,,19978,67806,0.36,0.68,,1.97,6.68,DEM
32,NY,2012,29,0,4485877,2490496,,105163,1995381,0.35,0.17,,1.49,0.18,DEM
35,OH,2012,18,0,2827709,2661437,,101788,166272,0.58,0.6,,1.82,2.97,DEM
36,OK,2012,0,7,443547,891325,,0,447778,0.23,0.77,,0,0.54,REP
37,OR,2012,7,0,970488,754175,,64607,216313,0.24,0.15,,3.61,0.09,DEM
38,PA,2012,20,0,2990274,2680434,,84231,309840,0.96,0.58,,1.46,5.38,DEM
39,RI,2012,4,0,279677,157204,,9168,122473,0.7,0.24,,2.06,0.46,DEM
40,SC,2012,0,9,865941,1071645,,26532,205704,0.09,0.56,,1.35,0.47,REP
41,SD,2012,0,3,145039,210610,,8166,65571,0.87,0.89,,2.24,0.02,REP
42,TN,2012,0,11,960709,1462330,,37865,501621,0.04,0.42,,1.54,0.38,REP
43,TX,2012,0,38,3308124,4569843,,121565,1261719,0.35,0.13,,1.52,0.77,REP
44,UT,2012,0,6,251813,740600,,28448,488787,0.67,0.55,,2.79,0.88,REP
46,VA,2012,13,0,1971820,1822522,,60147,149298,0.16,0.28,,1.56,3.87,DEM
45,VT,2012,3,0,199239,92698,,7353,106541,0.57,0.97,,2.46,0.6,DEM
47,WA,2012,12,0,1755396,1290670,,99892,464726,0.8,0.03,,3.18,0.77,DEM
49,WI,2012,10,0,1620985,1407966,,39483,213019,0.83,0.89,,1.29,6.94,DEM
48,WV,2012,0,5,238269,417655,,16195,179386,0.45,0.14,,2.41,0.69,REP
50,WY,2012,0,3,69286,170962,,8813,101676,0.82,0.64,,3.54,0.82,REP
52,AK,2008,0,3,123594,193841,,8762,70247,0.89,0.42,,2.69,0.54,REP
51,AL,2008,0,9,813479,1266546,,19794,453067,0.74,0.32,,0.94,0.58,REP
54,AR,2008,0,6,422310,638017,,26290,215707,0.86,0.72,,2.42,0.85,REP
53,AZ,2008,0,10,1034707,1230111,,39020,195404,0.91,0.39,,1.69,8.48,REP
55,CA,2008,55,0,8274473,5011781,,296829,3262692,0.92,0.9,,2.19,0.02,DEM
56,CO,2008,9,0,1288633,1073629,,39200,215004,0.66,0.71,,1.63,8.95,DEM
57,CT,2008,7,0,997773,629428,,19592,368345,0.59,0.22,,1.19,0.37,DEM
509,DC,2008,3,0,245800,17367,0,2686,228433,0.92,0.07,0,0.01,0.86,DEM
58,DE,2008,3,0,255459,152374,,4783,103085,0.91,0.93,,1.16,0.98,DEM
59,FL,2008,27,0,4282367,4046219,,83662,236148,0.91,0.1,,0.99,2.81,DEM
60,GA,2008,0,15,1844123,2048759,,39276,204636,0.9,0.1,,1,5.2,REP
61,HI,2008,4,0,325871,120566,,7131,205305,0.85,0.58,,1.57,0.26,DEM
65,IA,2008,7,0,828940,682379,,25804,146561,0.93,0.39,,1.68,9.53,DEM
62,ID,2008,0,4,236440,403012,,19002,166572,0.91,0.21,,2.89,0.3,REP
63,IL,2008,21,0,3419348,2031179,,79652,1388169,0.83,0.73,,1.44,0.1,DEM
64,IN,2008,11,0,1374039,1345648,,36971,28391,0.84,0.81,,1.34,1.03,DEM
66,KS,2008,0,6,514765,699655,,24453,184890,0.55,0.48,,1.97,0.92,REP
67,KY,2008,0,8,751985,1048462,,27140,296477,0.15,0.37,,1.49,0.22,REP
68,LA,2008,0,9,782989,1148275,,29497,365286,0.93,0.56,,1.5,0.63,REP
71,MA,2008,12,0,1904098,1108854,,68117,795244,0.8,0.99,,2.21,0.81,DEM
70,MD,2008,10,0,1629467,959862,,42267,669605,0.92,0.47,,1.61,0.44,DEM
69,ME,2008,4,0,421923,295273,,13967,126650,0.71,0.38,,1.91,0.32,DEM
72,MI,2008,17,0,2872579,2048639,,89388,823940,0.33,0.89,,1.78,0.44,DEM
73,MN,2008,10,0,1573354,1275409,,61606,297945,0.06,0.82,,2.12,0.24,DEM
75,MO,2008,0,11,1441911,1445814,,41386,3903,0.23,0.36,,1.41,0.13,REP
74,MS,2008,0,6,554662,724597,,10680,169935,0,0.17,,0.83,0.17,REP
76,MT,2008,0,3,232159,243882,,16709,11723,0.11,0.49,,3.39,2.38,REP
83,NC,2008,15,0,2142651,2128474,,39664,14177,0.7,0.38,,0.92,0.33,DEM
84,ND,2008,0,3,141403,168887,,7448,27484,0.5,0.15,,2.34,8.65,REP
77,NE,2008,1,4,333319,452979,,14983,119660,0.6,0.53,,1.87,0.93,REP
79,NH,2008,4,0,384826,316534,,9610,68292,0.13,0.52,,1.35,9.61,DEM
80,NJ,2008,15,0,2215422,1613207,,48778,602215,0.14,0.61,,1.26,0.53,DEM
81,NM,2008,5,0,472422,346832,,10904,125590,0.91,0.78,,1.31,0.13,DEM
78,NV,2008,5,0,533736,412827,,21285,120909,0.15,0.65,,2.2,0.49,DEM
82,NY,2008,31,0,4804945,2752771,,83232,2052174,0.88,0.03,,1.09,0.86,DEM
85,OH,2008,20,0,2940044,2677820,,103967,262224,0.38,0.8,,1.82,4.58,DEM
86,OK,2008,0,7,502496,960165,,0,457669,0.35,0.65,,0,0.29,REP
